MOp,Isocortex,11760,4606,2116,7167
SSp-bfd,Isocortex,10306,7118,1901,8586
MOs,Isocortex,10098,3122,2333,6498
VISp,Isocortex,6227,9041,1404,8054
SSs,Isocortex,5729,5885,3502,9182
SSp-ul,Isocortex,5406,5762,1502,7472
RSPv,Isocortex,3997,7560,1100,6063
TEa,Isocortex,3773,6760,4320,9510
ECT,Isocortex,3390,7645,4310,9860
SSp-ll,Isocortex,3254,6565,965,6870
SSp-un,Isocortex,2958,6770,3890,7770
SSp-m,Isocortex,2924,4604,3252,8494
ACAd,Isocortex,2789,4813,1886,5790
RSPd,Isocortex,2738,8270,635,6440
AUDp,Isocortex,2689,7840,2907,9610
AUDd,Isocortex,2556,7972,2410,9382
AUDv,Isocortex,2554,8030,3260,9790
ACAv,Isocortex,2418,4735,2265,5850
AId,Isocortex,2364,3100,4015,7675
GU,Isocortex,2104,4330,4390,8560
ORBl,Isocortex,1853,3000,3600,6690
VISam,Isocortex,1795,7746,936,7103
VISC,Isocortex,1793,5472,4557,9350
PL,Isocortex,1790,2980,3120,5850
ILA,Isocortex,1764,3445,3650,6140
ORBvl,Isocortex,1556,2810,3870,6420
PERI,Isocortex,1412,7780,5060,9880
SSp-n,Isocortex,1358,5620,2663,8576
VISpm,Isocortex,1265,8360,840,7000
ORBm,Isocortex,1024,2510,3620,5710
RSPagl,Isocortex,937,7500,770,6790
VISl,Isocortex,880,8833,1943,8886
VISpl,Isocortex,679,9750,2070,8980
