CP,Striatum,23893,5497,4194,7786
MOB,Olfactory Areas,16978,1535,4120,6685
PIR,Olfactory Areas,12933,5975,6130,8823
MOp,Isocortex,11760,4606,2116,7167
SSp-bfd,Isocortex,10306,7118,1901,8586
MOs,Isocortex,10098,3122,2333,6498
AN,Cerebellar Cortex,9044,11855,2840,8330
ENTl,Hippocampal Formation,8409,9178,4275,9570
CA1,Hippocampal Formation,8275,7514,2452,7392
SCm,Midbrain,6779,8935,2378,6427
CUL,Cerebellar Cortex,6635,11310,1475,6065
VISp,Isocortex,6227,9041,1404,8054
DG,Hippocampal Formation,6177,7755,2833,7234
SSs,Isocortex,5729,5885,3502,9182
MRN,Midbrain,5604,8497,3970,6370
SSp-ul,Isocortex,5406,5762,1502,7472
PFL,Cerebellar Cortex,5283,10803,4486,8680
SIM,Cerebellar Cortex,5218,11105,2785,7705
PAG,Midbrain,5104,9501,3743,5976
CA3,Hippocampal Formation,5035,7507,3254,8264
ACB,Striatum,4904,4386,5793,6430
OT,Striatum,4066,4640,6775,6720
RSPv,Isocortex,3997,7560,1100,6063
AON,Olfactory Areas,3951,2935,4805,6375
CENT,Cerebellar Cortex,3839,10902,3536,5960
TEa,Isocortex,3773,6760,4320,9510
LHA,Hypothalamus,3568,6726,5917,6351
ECT,Isocortex,3390,7645,4310,9860
SI,Pallidum,3297,5365,6232,7097
SSp-ll,Isocortex,3254,6565,965,6870
PRM,Cerebellar Cortex,3243,12720,4680,8020
PRNc,Pons,3159,10235,6023,5960
ENTm,Hippocampal Formation,3106,9496,4226,8643
GRN,Medulla,2972,11220,6480,5862
SSp-un,Isocortex,2958,6770,3890,7770
SSp-m,Isocortex,2924,4604,3252,8494
PRNr,Pons,2827,9790,5212,6547
ACAd,Isocortex,2789,4813,1886,5790
RSPd,Isocortex,2738,8270,635,6440
IRN,Medulla,2735,12057,5995,6285
AUDp,Isocortex,2689,7840,2907,9610
AUDd,Isocortex,2556,7972,2410,9382
AUDv,Isocortex,2554,8030,3260,9790
SCs,Midbrain,2505,9015,1285,5860
ACAv,Isocortex,2418,4735,2265,5850
LSr,Striatum,2398,4920,3765,5905
AId,Isocortex,2364,3100,4015,7675
ZI,Hypothalamus,2144,7535,4917,6790
GU,Isocortex,2104,4330,4390,8560
EPd,Cortical Subplate,2009,6180,5520,9170
COAp,Olfactory Areas,1915,7860,6467,8280
ORBl,Isocortex,1853,3000,3600,6690
GPe,Pallidum,1807,5660,4900,7140
VISam,Isocortex,1795,7746,936,7103
VISC,Isocortex,1793,5472,4557,9350
PL,Isocortex,1790,2980,3120,5850
ILA,Isocortex,1764,3445,3650,6140
TT,Olfactory Areas,1734,3700,5040,5943
SPVI,Medulla,1707,12410,5210,7260
PARN,Medulla,1597,11386,5900,6850
ORBvl,Isocortex,1556,2810,3870,6420
MEA,Striatum,1493,6544,6252,7432
BST,Pallidum,1481,5352,5327,6235
