VCO,SPFp,0.0017366759
BLA,RSPv,0.0001173391
SSp-ul,SSp-m,0.0669734015
AN,TEa,0.0001269937
CS,VM,0.0094671069
IP,CS,0.0259720913
NTS,VISam,0.0006805444
EPv,POL,0.0027293301
AIv,ENTl,0.0264649045
FRP,IMD,0.0233102543
RE,SMT,0.0003590953
SSp-ll,ILA,0.0056442177
MRN,RN,0.0141546063
AOB,VCO,7.6506e-05
PAG,PAG,0.3153848614
RCH,AMv,0.0044926367
AId,OT,0.0045602673
CUN,AD,0.0004856737
CENT,AUDp,3.56313032191869e-05
SSp-ll,VISpl,0.0003428628
POST,MA,5.04201861139988e-05
PGRNd,NOT,0.0142563693
SUBv,PG,0.0001540068
RM,TU,0.0232421712
GRN,LAV,0.0110178505
PPN,MEA,0.018981852
MARN,TEa,0.0001662769
SSp-m,ECT,0.0328645077
FRP,MPN,3.7922728294698e-06
VM,SPA,0.0148072906
AUDv,COAa,3.56474159853611e-06
PO,PAA,0.0002840779
CUL,SSs,0.0009847886
PRNr,SSp-n,0.000170707
SSp-n,SPVC,0.0935230501
ORBm,MA,8.78881320303204e-05
VTA,NLOT,0.0054467212
CLI,MS,1.3878706778
CUL,TEa,0.0001347777
RR,ICd,0.0321389437
SUV,MOs,0.0005154725
ENTl,PRE,0.0044421988
DP,ARH,0.0004114108
SCs,AIv,1.77303235929899e-05
ICe,NLOT,0.0003373331
TRS,MA,0.0894814438
APN,AAA,3.2577e-05
MDRNd,ICe,0.0673948459
IO,MPN,0.0008428259
VISam,DR,0.0011912881
SUV,SSp-tr,0.0003779694
CL,PRM,0.0009164514
ACAd,ICe,0.0006527041
SSp-ll,CUN,6.06005018255113e-05
PSV,PERI,0.0006836089
FS,SCs,0.0010204493
NPC,SSp-n,0.0002962507
MGd,MPT,0.004262585
PCG,IRN,0.0168037506
ACAv,MM,0.0043073452
SCm,GRN,0.0866594753
IO,TRS,0.0289280099
MM,LSc,0.0844410816
NLL,MDRNd,0.0010135021
MOp,IO,0.0026619206
MOB,ACB,0.0009481778
CP,RSPd,0.0001182471
SSp-m,IP,5.626e-06
GPi,VPMpc,0.0288068458
SI,ICd,4.32211488304824e-05
MRN,VPM,0.0001985859
VISam,SSp-ul,0.0017698077
PF,NDB,0.0247446524
PRM,PA,9.36103203913542e-05
FS,PG,4.20452422206072e-05
SPA,AOB,0.0039185772
VISpm,MARN,0.0889165331
PPN,LPO,0.1334153923
PL,MV,0.0004932073
IO,XII,0.0289651601
PRM,PSV,1.90227212289604e-06
OT,FL,8.21281754322182e-06
AON,VMH,0.0001049518
VTA,DMH,0.0250698004
MS,SBPV,0.019687067
ORBvl,LSc,0.0066679063
VISam,RSPd,0.1353924168
PRNc,POL,0.0002979192
PRP,FL,0.0812547586
IO,POST,0.0033015496
AIv,PIR,0.1979718839
PGRNl,STN,0.0025944307
NTS,TR,9.99732751606586e-06
LPO,SMT,0.0003503716
NOT,RT,0.0460944935
PO,SSp-bfd,0.0022821178
MM,DMH,0.0098247643
CENT,IP,0.0002377897
MA,SI,0.0338546756
SSs,VM,0.0021594952
CLA,SPA,0.0409152602
MS,VISpl,0.0003428103
ENTl,LSr,0.0201408349
DMH,GRN,0.0022137201
GPi,PFL,0.0051037268
LRN,RE,0.0056388441
FRP,LSv,9.316e-05
MOs,TRN,0.0148213508
AIv,BST,0.0226176865
PTLp,AMd,0.0016926274
PVT,IA,0.0456276209
MEPO,LSv,0.0257236296
DMH,NPC,0.0029442939
ICc,SOC,0.0197669729
DMH,VPMpc,0.0008523149
CUL,ENTl,0.0003675423
DR,COAp,0.0010944148
PRM,LPO,0.0005050074
SPVO,SPFm,0.0012549265
CL,LHA,0.0126173612
PAR,ENTl,0.1115516457
LGd,IO,0.0037680922
LD,RSPd,0.0029478626
SSp-n,MARN,0.0320353062
SPIV,MDRNd,0.0001222566
PERI,MARN,0.003611358
NDB,MV,0.0012188447
AMB,MARN,0.337793675
GPi,VPM,0.0001752143
RT,CA3,0.0022581791
PERI,RE,0.0476749794
SSp-ll,FN,3.34113109670464e-05
CM,SUT,0.0001840025
ENTl,AAA,0.0029575391
MPT,MPO,0.0610634698
CUL,ORBl,1.61045920356295e-06
DN,PVp,0.000324713
MOp,SI,0.0057732197
PVT,ORBm,0.147409857
SPVO,TU,0.000759156
PP,PIR,0.0477452874
MGd,VPMpc,5.15643950841012e-05
VPM,CL,0.002040969
SPVI,SUV,0.0023830726
LRN,TRN,0.0159280986
ICc,NLOT,6.38854282397231e-05
PFL,ACAd,0.0003283105
ACAv,SSs,0.0040845604
CENT,TEa,0.0001503765
ORBl,SF,0.0001114495
AUDd,XII,0.0002895749
CS,ENTm,0.0607748385
SPVC,MEA,0.0006254496
ACB,VCO,0.0003632134
SNc,NI,0.0013386632
AId,FS,0.0151792454
ILA,LHA,0.1301237578
PL,POL,6.38384506449996e-06
MS,ORBvl,0.0044187581
