SUBv,POST,0.1619508509
CA2,PRE,0.0511827018
ENTl,CA3,0.1362536477
POST,SUBv,0.0949080239
ENTl,CA1,0.8610251728
PRE,CA3,0.2925206472
SUBd,CA3,0.2877298715
SUBd,POST,0.3138938129
POST,PAR,0.1266469364
ENTl,DG,0.5817875455
CA1,ENTl,0.1326996539
SUBd,CA1,1.9932912281
CA2,CA2,0.3042061507
DG,ENTl,0.0180398531
POST,ENTm,0.4901762332
SUBd,PAR,0.1514322466
POST,CA2,0.0151932581
PAR,CA2,0.0283231109
CA1,ENTm,0.0726711762
ENTl,PAR,0.0612476885
POST,ENTl,0.7958147574
CA3,SUBv,0.7787262018
POST,DG,0.0028010461
SUBd,ENTm,0.1479840579
ENTl,SUBv,0.6496919027
SUBd,CA2,0.1274899264
ENTm,CA2,0.0179286263
ENTm,PRE,0.0895258892
ENTl,POST,0.014953651
ENTm,PAR,0.1827092191
CA2,POST,0.0202652064
DG,DG,1.7288995422
CA3,PAR,0.0020775888
ENTm,CA1,0.7372968914
DG,ENTm,0.0462440562
CA3,DG,0.2472063597
CA2,DG,0.9292817276
POST,POST,0.1874135831
PAR,ENTl,0.1284534658
POST,CA1,0.0960734137
POST,PRE,0.5367546717
CA3,CA1,2.3308011481
SUBd,SUBv,1.1354397865
ENTm,POST,0.0104301072
CA1,SUBv,0.0672316213
ENTl,PRE,0.0720311126
CA2,SUBd,1.0036664495
CA2,PAR,0.0364586574
ENTm,CA3,0.3133974753
DG,PRE,5.93065284895388e-05
CA3,CA2,0.1378714636
CA3,CA3,1.1627845798
ENTl,ENTm,0.3317159858
DG,CA2,0.0860676911
CA1,SUBd,0.3231352403
PAR,POST,0.0440064334
SUBv,SUBv,0.5792609385
DG,CA3,0.5117447488
CA3,ENTm,0.0465425877
ENTl,SUBd,0.152424582
SUBv,PAR,0.302260145
DG,CA1,0.4702472458
CA3,ENTl,0.0192034524
SUBv,ENTl,0.2950718546
ENTl,ENTl,1.6967565378
SUBv,CA1,0.2174456931
PAR,ENTm,0.7725901076
SUBv,ENTm,0.1288035013
SUBd,PRE,0.3023775988
PRE,CA1,0.451727885
ENTm,ENTm,0.1396936688
ENTm,DG,0.5922580679
SUBv,PRE,0.579296768
SUBd,ENTl,0.8673145658
ENTm,SUBv,0.2283203071
ENTl,CA2,0.0383932182
CA2,CA1,8.4635490249
SUBd,SUBd,0.5708608259
CA2,CA3,2.3781983098
POST,SUBd,0.3275462063
